 ,Area,Mean,StdDev,Min,Max,X,Y
1,1,255,0,255,255,296.500,0.500
2,2,255,0,255,255,332.000,2.500
3,21182,255,0,255,255,326.299,122.262
4,3,255,0,255,255,339.500,21.500
5,2,255,0,255,255,260.000,25.000
6,1,255,0,255,255,360.500,30.500
7,1,255,0,255,255,257.500,40.500
8,1,255,0,255,255,251.500,44.500
9,2,255,0,255,255,309.000,55.000
10,4,255,0,255,255,315.000,66.750
11,1,255,0,255,255,315.500,71.500
12,1,255,0,255,255,317.500,72.500
13,1,255,0,255,255,319.500,73.500
14,1,255,0,255,255,326.500,82.500
15,1,255,0,255,255,331.500,82.500
16,1,255,0,255,255,209.500,85.500
17,1,255,0,255,255,289.500,85.500
18,1,255,0,255,255,287.500,86.500
19,1,255,0,255,255,285.500,87.500
20,2,255,0,255,255,289.000,89.000
21,1,255,0,255,255,243.500,89.500
22,4,255,0,255,255,241.500,91.750
23,2,255,0,255,255,283.000,91.000
24,1,255,0,255,255,281.500,92.500
25,2,255,0,255,255,288.000,94.000
26,1,255,0,255,255,299.500,95.500
27,1,255,0,255,255,283.500,97.500
28,1,255,0,255,255,298.500,97.500
29,1,255,0,255,255,244.500,99.500
30,1,255,0,255,255,243.500,101.500
31,1,255,0,255,255,291.500,102.500
32,2,255,0,255,255,302.500,106.000
33,5,255,0,255,255,292.500,109.500
34,1,255,0,255,255,293.500,117.500
35,1,255,0,255,255,204.500,119.500
36,1,255,0,255,255,201.500,124.500
37,875,255,0,255,255,319.564,144.164
38,5,255,0,255,255,337.100,133.700
39,4,255,0,255,255,297.500,138.000
40,2,255,0,255,255,295.000,140.500
41,69,255,0,255,255,350.529,146.080
42,53,255,0,255,255,287.632,146.123
43,1,255,0,255,255,344.500,145.500
44,2,255,0,255,255,364.000,146.500
45,2,255,0,255,255,385.000,146.500
46,2,255,0,255,255,281.500,148.000
47,2,255,0,255,255,296.000,147.500
48,1,255,0,255,255,293.500,148.500
49,1,255,0,255,255,341.500,150.500
50,1,255,0,255,255,270.500,151.500
51,1,255,0,255,255,337.500,151.500
52,1,255,0,255,255,343.500,151.500
53,54,255,0,255,255,340.370,157.685
54,1,255,0,255,255,350.500,151.500
55,1,255,0,255,255,299.500,152.500
56,304,255,0,255,255,277.819,159.138
57,1,255,0,255,255,273.500,154.500
58,3,255,0,255,255,193.500,158.500
59,1,255,0,255,255,299.500,158.500
60,1,255,0,255,255,301.500,159.500
61,1,255,0,255,255,341.500,163.500
62,3,255,0,255,255,323.500,166.833
63,1,255,0,255,255,313.500,167.500
64,1,255,0,255,255,297.500,168.500
65,1198,255,0,255,255,282.655,184.775
66,2,255,0,255,255,301.000,169.500
67,2,255,0,255,255,203.000,174.000
68,1,255,0,255,255,324.500,174.500
69,6,255,0,255,255,327.167,175.667
70,3,255,0,255,255,331.167,176.833
71,1,255,0,255,255,193.500,178.500
72,2,255,0,255,255,329.000,179.000
73,3,255,0,255,255,189.500,182.500
74,1,255,0,255,255,192.500,183.500
75,5,255,0,255,255,195.500,186.500
76,81,255,0,255,255,190.167,194.969
77,4470,255,0,255,255,301.868,230.245
78,1,255,0,255,255,406.500,191.500
79,1,255,0,255,255,195.500,193.500
80,1,255,0,255,255,316.500,193.500
81,1,255,0,255,255,358.500,193.500
82,1,255,0,255,255,197.500,194.500
83,1137,255,0,255,255,376.846,226.806
84,1,255,0,255,255,313.500,196.500
85,1,255,0,255,255,309.500,198.500
86,9,255,0,255,255,369.500,199.167
87,1,255,0,255,255,378.500,202.500
88,7,255,0,255,255,190.214,205.214
89,1,255,0,255,255,376.500,203.500
90,2,255,0,255,255,297.000,207.000
91,1,255,0,255,255,279.500,207.500
92,2,255,0,255,255,276.500,209.000
93,1,255,0,255,255,308.500,208.500
94,5,255,0,255,255,391.900,209.900
95,19,255,0,255,255,186.816,212.342
96,3,255,0,255,255,384.833,210.167
97,1,255,0,255,255,285.500,210.500
98,7,255,0,255,255,197.214,214.357
99,1,255,0,255,255,239.500,214.500
100,1,255,0,255,255,395.500,216.500
101,1,255,0,255,255,186.500,217.500
102,4,255,0,255,255,187.000,220.000
103,9,255,0,255,255,363.833,221.167
104,1,255,0,255,255,298.500,226.500
105,1,255,0,255,255,196.500,227.500
106,9,255,0,255,255,188.944,229.833
107,1,255,0,255,255,196.500,231.500
108,26,255,0,255,255,191.038,237.308
109,2,255,0,255,255,354.000,233.500
110,1,255,0,255,255,201.500,237.500
111,12,255,0,255,255,193.667,245.500
112,3,255,0,255,255,204.167,244.833
113,1,255,0,255,255,429.500,245.500
114,1,255,0,255,255,294.500,249.500
115,4,255,0,255,255,207.250,252.000
116,1,255,0,255,255,253.500,250.500
117,1,255,0,255,255,203.500,251.500
118,1,255,0,255,255,284.500,254.500
119,1,255,0,255,255,208.500,255.500
120,2,255,0,255,255,327.000,255.500
121,1,255,0,255,255,209.500,257.500
122,1,255,0,255,255,232.500,258.500
123,1,255,0,255,255,208.500,259.500
124,1,255,0,255,255,231.500,260.500
125,1,255,0,255,255,269.500,261.500
126,1739,255,0,255,255,329.321,279.738
127,1,255,0,255,255,232.500,264.500
128,2,255,0,255,255,422.000,264.500
129,71,255,0,255,255,228.106,274.204
130,6,255,0,255,255,265.167,269.500
131,3,255,0,255,255,263.167,274.833
132,2,255,0,255,255,223.000,277.500
133,3,255,0,255,255,228.500,280.167
134,7,255,0,255,255,234.357,282.786
135,1,255,0,255,255,231.500,281.500
136,11,255,0,255,255,236.318,287.864
137,1,255,0,255,255,239.500,291.500
138,32,255,0,255,255,239.156,297.312
139,8,255,0,255,255,242.625,301.250
140,13,255,0,255,255,330.731,302.423
141,2,255,0,255,255,339.000,303.500
142,730,255,0,255,255,328.667,321.844
143,1353,255,0,255,255,350.605,369.995
144,3,255,0,255,255,420.500,314.833
145,2,255,0,255,255,412.500,316.000
146,20,255,0,255,255,429.600,317.900
147,1,255,0,255,255,433.500,316.500
148,1,255,0,255,255,421.500,318.500
149,1,255,0,255,255,255.500,319.500
150,2,255,0,255,255,435.000,321.000
151,4,255,0,255,255,437.750,322.000
152,1,255,0,255,255,226.500,321.500
153,6,255,0,255,255,442.000,323.167
154,1,255,0,255,255,432.500,323.500
155,1,255,0,255,255,381.500,326.500
156,1,255,0,255,255,439.500,326.500
157,1,255,0,255,255,449.500,326.500
158,10,255,0,255,255,378.200,329.600
159,1,255,0,255,255,451.500,327.500
160,1,255,0,255,255,382.500,328.500
161,2,255,0,255,255,442.000,329.000
162,3,255,0,255,255,454.167,328.833
163,1,255,0,255,255,313.500,329.500
164,1,255,0,255,255,439.500,329.500
165,1,255,0,255,255,452.500,330.500
166,42,255,0,255,255,369.667,335.381
167,2,255,0,255,255,448.500,332.000
168,1,255,0,255,255,311.500,333.500
169,1,255,0,255,255,451.500,334.500
170,1,255,0,255,255,347.500,335.500
