 ,X,Y
1,296.500,0.500
2,332.000,2.500
3,326.299,122.262
4,339.500,21.500
5,260.000,25.000
6,360.500,30.500
7,257.500,40.500
8,251.500,44.500
9,309.000,55.000
10,315.000,66.750
11,315.500,71.500
12,317.500,72.500
13,319.500,73.500
14,326.500,82.500
15,331.500,82.500
16,209.500,85.500
17,289.500,85.500
18,287.500,86.500
19,285.500,87.500
20,289.000,89.000
21,243.500,89.500
22,241.500,91.750
23,283.000,91.000
24,281.500,92.500
25,288.000,94.000
26,299.500,95.500
27,283.500,97.500
28,298.500,97.500
29,244.500,99.500
30,243.500,101.500
31,291.500,102.500
32,302.500,106.000
33,292.500,109.500
34,293.500,117.500
35,204.500,119.500
36,201.500,124.500
37,319.564,144.164
38,337.100,133.700
39,297.500,138.000
40,295.000,140.500
41,350.529,146.080
42,287.632,146.123
43,344.500,145.500
44,364.000,146.500
45,385.000,146.500
46,281.500,148.000
47,296.000,147.500
48,293.500,148.500
49,341.500,150.500
50,270.500,151.500
51,337.500,151.500
52,343.500,151.500
53,340.370,157.685
54,350.500,151.500
55,299.500,152.500
56,277.819,159.138
57,273.500,154.500
58,193.500,158.500
59,299.500,158.500
60,301.500,159.500
61,341.500,163.500
62,323.500,166.833
63,313.500,167.500
64,297.500,168.500
65,282.655,184.775
66,301.000,169.500
67,203.000,174.000
68,324.500,174.500
69,327.167,175.667
70,331.167,176.833
71,193.500,178.500
72,329.000,179.000
73,189.500,182.500
74,192.500,183.500
75,195.500,186.500
76,190.167,194.969
77,301.868,230.245
78,406.500,191.500
79,195.500,193.500
80,316.500,193.500
81,358.500,193.500
82,197.500,194.500
83,376.846,226.806
84,313.500,196.500
85,309.500,198.500
86,369.500,199.167
87,378.500,202.500
88,190.214,205.214
89,376.500,203.500
90,297.000,207.000
91,279.500,207.500
92,276.500,209.000
93,308.500,208.500
94,391.900,209.900
95,186.816,212.342
96,384.833,210.167
97,285.500,210.500
98,197.214,214.357
99,239.500,214.500
100,395.500,216.500
101,186.500,217.500
102,187.000,220.000
103,363.833,221.167
104,298.500,226.500
105,196.500,227.500
106,188.944,229.833
107,196.500,231.500
108,191.038,237.308
109,354.000,233.500
110,201.500,237.500
111,193.667,245.500
112,204.167,244.833
113,429.500,245.500
114,294.500,249.500
115,207.250,252.000
116,253.500,250.500
117,203.500,251.500
118,284.500,254.500
119,208.500,255.500
120,327.000,255.500
121,209.500,257.500
122,232.500,258.500
123,208.500,259.500
124,231.500,260.500
125,269.500,261.500
126,329.321,279.738
127,232.500,264.500
128,422.000,264.500
129,228.106,274.204
130,265.167,269.500
131,263.167,274.833
132,223.000,277.500
133,228.500,280.167
134,234.357,282.786
135,231.500,281.500
136,236.318,287.864
137,239.500,291.500
138,239.156,297.312
139,242.625,301.250
140,330.731,302.423
141,339.000,303.500
142,328.667,321.844
143,350.605,369.995
144,420.500,314.833
145,412.500,316.000
146,429.600,317.900
147,433.500,316.500
148,421.500,318.500
149,255.500,319.500
150,435.000,321.000
151,437.750,322.000
152,226.500,321.500
153,442.000,323.167
154,432.500,323.500
155,381.500,326.500
156,439.500,326.500
157,449.500,326.500
158,378.200,329.600
159,451.500,327.500
160,382.500,328.500
161,442.000,329.000
162,454.167,328.833
163,313.500,329.500
164,439.500,329.500
165,452.500,330.500
166,369.667,335.381
167,448.500,332.000
168,311.500,333.500
169,451.500,334.500
170,347.500,335.500
171,349.500,336.000
172,351.500,335.500
173,310.500,336.500
174,333.785,344.893
175,296.357,339.929
176,460.643,342.071
177,361.833,347.167
178,466.500,345.500
179,476.500,346.500
180,248.500,347.500
181,247.500,350.000
182,249.500,349.500
183,413.300,350.800
184,469.500,350.000
185,475.167,350.500
186,245.500,350.500
187,345.125,353.000
188,479.333,355.958
189,246.900,354.000
190,330.269,359.764
191,414.500,356.000
192,349.500,356.500
193,484.643,358.214
194,245.500,357.500
195,412.500,360.300
196,247.250,360.250
197,244.500,365.409
198,493.409,364.591
199,376.500,363.500
200,400.333,364.333
201,411.350,368.450
202,501.500,367.500
203,507.500,369.500
204,229.407,380.709
205,507.682,373.864
206,393.900,373.700
207,224.500,375.500
208,248.500,376.500
209,414.500,377.500
210,400.000,378.500
211,261.816,385.868
212,513.500,384.500
213,274.500,385.500
214,296.500,385.500
215,278.500,386.500
216,288.750,387.250
217,403.500,387.000
218,360.500,390.000
219,240.500,390.500
220,266.000,391.500
221,324.500,391.056
222,357.167,391.167
223,413.357,394.357
224,239.500,393.167
225,242.500,393.500
226,271.500,393.500
227,493.500,393.500
228,325.000,394.500
229,504.500,394.500
230,199.000,395.500
231,271.500,395.500
232,322.750,396.250
233,357.000,395.500
234,265.500,397.167
235,353.500,396.500
236,273.167,398.167
237,308.930,404.407
238,411.500,401.000
239,506.000,401.333
240,193.500,400.500
241,237.833,403.333
242,264.500,401.500
243,273.500,401.900
244,501.500,401.500
245,189.000,404.167
246,294.500,402.500
247,337.611,403.833
248,228.500,403.500
249,282.000,404.000
250,493.500,404.500
251,499.500,405.167
252,230.500,406.500
253,329.167,407.389
254,184.500,407.500
255,392.500,408.250
256,413.179,419.019
257,490.628,416.116
258,275.597,410.919
259,508.500,408.500
260,181.333,411.167
261,233.500,410.500
262,281.500,415.100
263,176.167,415.833
264,477.500,415.500
265,480.750,417.500
266,512.500,416.500
267,174.500,417.500
268,509.500,417.500
269,511.500,418.500
270,465.500,419.500
271,476.500,419.500
272,423.500,420.500
273,478.500,420.500
274,169.500,421.500
275,244.714,424.643
276,318.500,421.500
277,472.000,422.000
278,474.500,421.500
279,509.500,422.000
280,446.500,422.500
281,483.900,424.500
282,499.283,424.543
283,278.500,424.000
284,265.300,425.100
285,425.071,425.357
286,163.125,429.000
287,419.643,427.071
288,459.500,426.167
289,401.500,426.500
290,449.333,427.000
291,472.500,426.500
292,269.700,428.700
293,444.000,427.500
294,454.500,427.500
295,497.933,430.400
296,295.500,430.600
297,161.000,429.500
298,250.000,430.500
299,260.750,431.167
300,286.500,429.500
301,407.654,432.731
302,429.633,431.300
303,469.500,430.000
304,487.500,429.500
305,437.500,430.500
306,443.500,430.500
307,159.500,431.500
308,277.250,433.000
309,284.625,433.250
310,367.643,434.471
311,423.500,431.500
312,156.500,432.500
313,434.000,432.500
314,476.056,433.611
315,305.500,435.100
316,375.500,433.500
317,510.357,435.643
318,239.500,435.500
319,243.250,435.875
320,290.929,435.214
321,488.000,434.500
322,425.786,438.500
323,268.500,437.500
324,298.500,437.000
325,502.500,438.682
326,254.300,437.900
327,360.500,438.250
328,309.500,439.300
329,341.857,439.214
330,468.167,440.333
331,233.000,440.500
332,327.000,440.000
333,402.864,444.106
334,512.500,439.500
335,155.000,441.000
336,260.500,442.300
337,157.000,443.000
338,406.667,444.167
339,153.500,444.900
340,278.000,443.500
341,313.950,446.600
342,423.500,443.500
343,466.500,443.500
344,334.000,444.500
345,409.500,445.000
346,583.000,446.000
347,588.500,445.000
348,248.278,447.167
349,331.500,447.300
350,341.548,447.262
351,419.389,447.056
352,482.500,446.500
353,265.318,447.955
354,148.118,453.794
355,254.500,450.167
356,405.500,449.500
357,237.801,469.818
358,239.929,452.929
359,304.162,456.459
360,335.500,450.500
361,399.500,450.500
362,464.500,450.500
363,287.180,456.005
364,320.500,452.000
365,339.389,452.500
366,405.500,452.000
367,408.944,459.796
368,264.000,453.167
369,396.500,452.500
370,465.500,453.500
371,315.000,455.000
372,587.500,454.500
373,445.500,455.500
374,460.500,456.500
375,153.929,460.000
376,458.833,459.500
377,162.000,459.750
378,192.500,459.500
379,318.500,460.409
380,172.000,461.167
381,183.300,461.500
382,267.375,461.750
383,394.333,463.000
384,198.500,462.200
385,208.786,462.357
386,224.500,462.714
387,251.611,464.389
388,454.000,462.500
389,217.833,464.500
390,273.773,466.318
391,221.500,465.500
392,448.667,465.167
