 ,X,Y
1,338.000,32.000
2,350.500,31.500
3,345.000,33.500
4,349.500,33.500
5,351.833,34.167
6,353.167,37.500
7,321.987,214.627
8,351.000,40.000
9,355.500,39.500
10,275.875,41.500
11,363.833,41.500
12,352.375,42.875
13,361.500,41.500
14,267.900,44.400
15,355.500,43.500
16,361.500,43.500
17,277.206,48.147
18,317.333,46.167
19,369.000,47.750
20,378.542,47.958
21,355.500,46.500
22,267.500,47.500
23,319.500,47.500
24,333.250,51.964
25,366.500,47.500
26,322.500,48.500
27,392.500,48.500
28,313.553,52.763
29,325.500,49.500
30,343.962,52.500
31,349.000,50.500
32,387.500,49.500
33,394.833,50.500
34,274.500,50.500
35,323.912,52.559
36,361.900,51.100
37,397.250,52.500
38,404.500,52.500
39,230.500,53.500
40,339.000,53.500
41,253.500,56.000
42,339.000,56.000
43,346.000,55.500
44,381.500,55.500
45,386.000,56.000
46,392.500,55.500
47,396.167,56.389
48,223.167,57.167
49,233.500,57.250
50,317.500,56.500
51,344.188,59.000
52,388.000,57.000
53,315.000,58.000
54,214.357,59.929
55,256.000,59.000
56,377.000,58.500
57,218.167,60.167
58,224.000,59.500
59,252.833,59.833
60,358.500,59.500
61,388.500,59.500
62,401.500,59.500
63,415.500,59.500
64,307.500,60.500
65,312.500,60.500
66,385.500,60.500
67,223.500,61.500
68,230.423,63.500
69,241.500,61.500
70,256.500,61.500
71,309.500,61.500
72,321.929,63.214
73,391.500,61.500
74,415.500,61.500
75,303.750,63.750
76,216.500,63.500
77,226.500,63.500
78,240.833,64.167
79,243.500,63.500
80,280.500,63.500
81,319.500,63.500
82,324.500,63.500
83,345.500,63.500
84,348.000,64.000
85,395.500,64.000
86,413.500,63.500
87,361.500,65.000
88,215.786,68.714
89,224.500,65.500
90,226.500,65.500
91,332.000,65.500
92,343.500,65.500
93,236.700,68.500
94,240.000,68.333
95,355.500,66.500
96,225.000,67.500
97,244.500,67.500
98,246.500,67.500
99,400.500,67.500
100,404.167,68.167
101,224.442,77.717
102,234.500,68.500
103,257.500,68.500
104,227.500,69.500
105,309.611,72.537
106,385.500,69.500
107,389.000,70.750
108,241.500,70.500
109,243.500,70.500
110,257.300,71.900
111,300.833,72.667
112,322.500,70.500
113,394.274,72.855
114,238.000,71.500
115,252.500,71.500
116,259.500,72.000
117,411.333,72.750
118,291.167,73.500
119,250.500,74.333
120,372.500,76.000
121,407.500,75.500
122,424.500,75.500
123,244.500,76.500
124,203.622,82.939
125,383.351,81.415
126,390.000,78.000
127,243.000,79.000
128,240.500,80.000
129,302.500,79.500
130,396.500,80.500
131,366.500,80.500
132,403.500,80.500
133,302.500,81.500
134,222.500,82.500
135,393.500,82.500
136,399.500,82.833
137,403.000,84.250
138,416.500,83.500
139,379.500,85.000
140,220.500,85.500
141,399.500,85.500
142,422.500,85.500
143,212.000,88.000
144,371.833,88.500
145,431.000,89.500
146,205.500,91.500
147,212.438,93.375
148,409.500,91.500
149,193.000,92.500
150,218.500,92.500
151,221.000,93.000
152,429.250,93.500
153,409.500,93.500
154,194.500,94.500
155,201.000,94.500
156,220.000,95.000
157,223.500,94.500
158,192.500,95.500
159,198.500,95.500
160,217.500,96.864
161,205.500,97.500
162,439.500,97.500
163,186.500,99.500
164,189.750,100.750
165,204.500,99.500
