 ,X,Y
1,350.500,32.500
2,333.000,38.000
3,275.500,38.500
4,273.000,40.000
5,304.500,39.500
6,275.500,41.500
7,322.722,222.064
8,392.337,53.105
9,276.167,46.833
10,335.875,49.438
11,338.500,46.500
12,387.000,47.000
13,334.500,52.500
14,375.833,54.389
15,400.500,52.500
16,225.500,54.750
17,329.885,56.192
18,238.100,55.700
19,355.500,54.500
20,212.500,57.000
21,215.500,55.500
22,246.500,55.500
23,341.000,55.500
24,219.000,57.000
25,353.500,56.500
26,246.500,57.500
27,251.500,57.500
28,264.500,57.500
29,313.500,57.500
30,340.500,57.500
31,215.500,58.500
32,236.500,59.167
33,328.500,58.500
34,352.500,58.500
35,265.500,59.500
36,345.978,62.630
37,405.444,62.167
38,408.500,59.500
39,318.500,60.500
40,323.700,61.700
41,284.500,61.500
42,340.500,61.500
43,236.500,62.500
44,249.500,63.500
45,260.000,63.000
46,304.967,64.833
47,311.507,74.204
48,358.500,62.500
49,365.500,62.500
50,394.682,65.045
51,227.500,64.500
52,229.500,64.500
53,251.500,64.500
54,376.500,64.500
55,410.500,64.500
56,233.382,68.088
57,301.500,65.500
58,401.500,65.500
59,215.500,66.500
60,409.700,67.700
61,226.525,78.142
62,353.500,67.500
63,407.500,68.000
64,215.500,68.500
65,217.500,68.500
66,239.500,68.500
67,324.500,69.000
68,332.500,68.500
69,364.500,68.500
70,366.833,68.833
71,394.500,68.500
72,241.500,69.500
73,297.500,69.500
74,357.500,69.500
75,299.500,70.500
76,232.500,71.500
77,241.300,73.367
78,323.500,71.500
79,366.500,71.500
80,407.000,71.500
81,249.250,73.750
82,302.500,72.500
83,337.500,72.500
84,209.569,76.638
85,259.500,73.500
86,328.500,74.000
87,408.250,74.500
88,214.000,74.500
89,216.500,74.500
90,219.000,74.500
91,244.500,74.500
92,246.500,74.500
93,262.000,75.000
94,387.500,74.500
95,286.500,76.500
96,329.500,79.346
97,392.500,76.500
98,395.500,76.500
99,238.500,78.300
100,290.000,78.000
101,232.500,78.500
102,397.318,79.864
103,404.500,78.500
104,250.500,79.500
105,285.500,79.500
106,287.500,79.500
107,310.000,79.500
108,324.500,79.500
109,369.000,80.000
110,406.500,79.500
111,215.159,88.744
112,224.500,81.000
113,241.000,80.500
114,312.700,85.820
115,404.500,80.500
116,297.500,81.500
117,310.500,81.500
118,371.500,81.500
119,401.000,82.000
120,417.500,83.000
121,239.885,85.346
122,368.500,82.500
123,404.500,82.500
124,420.500,83.500
125,231.000,85.000
