 ,X,Y
1,311.056,223.001
2,317.000,43.167
3,313.500,44.500
4,317.000,46.000
5,275.700,47.300
6,347.500,50.625
7,311.500,47.500
8,344.167,52.167
9,341.500,53.500
10,267.000,55.000
11,351.500,61.500
12,382.500,75.500
13,381.500,77.500
14,383.500,77.500
15,387.500,79.500
16,391.750,80.250
17,221.500,88.500
18,219.500,93.500
19,214.500,104.500
20,255.500,104.500
21,251.500,109.500
22,380.500,113.500
23,211.500,117.500
24,408.500,119.000
25,205.500,136.500
26,392.345,152.211
27,410.500,144.500
28,410.500,146.500
29,232.500,157.500
30,230.500,158.500
31,383.500,159.500
32,227.833,185.500
33,226.500,189.000
34,402.500,191.500
35,397.000,217.000
36,402.500,225.500
37,403.352,259.981
38,407.500,259.500
39,388.000,280.000
40,239.000,283.250
41,232.500,285.500
42,237.500,287.362
43,243.500,287.500
44,248.357,289.357
45,243.500,289.500
46,392.974,295.711
47,231.500,292.500
48,248.227,299.682
49,244.500,299.500
50,254.500,300.500
51,391.000,307.500
52,267.000,312.500
53,383.500,322.500
54,252.000,332.500
55,252.500,334.500
56,249.500,335.500
57,259.833,336.722
58,251.500,336.500
59,252.500,345.500
60,253.500,347.500
61,217.997,369.950
62,242.389,383.833
63,244.500,381.500
64,245.500,383.500
65,252.214,395.071
